City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
225,chhindwara,22.0667,78.9333,21.77,42,71,3.31,IN,1674531135
226,porto novo,6.4965,2.6036,25.24,89,28,1.57,BJ,1674531137
227,gilbues,-9.8317,-45.3439,24.98,69,98,0.97,BR,1674531138
228,bratsk,56.1325,101.6142,-23.7,95,100,2.52,RU,1674530922
229,bilibino,68.0546,166.4372,-23.3,81,100,1.89,RU,1674531140
230,yar-sale,66.8333,70.8333,-17.44,97,100,6.9,RU,1674531142
231,ponta delgada,37.7333,-25.6667,15.4,67,75,7.2,PT,1674531144
232,avera,33.194,-82.5271,3.73,73,0,2.49,US,1674531145
233,bakchar,57.0186,82.0711,-11.41,95,100,3.23,RU,1674531146
234,fairbanks,64.8378,-147.7164,-21.02,76,100,0.0,US,1674530926
235,nalut,30.3333,10.85,5.39,48,4,3.58,LY,1674531148
236,poltavka,54.3663,71.7632,-17.16,97,40,4.06,RU,1674531149
237,nome,64.5011,-165.4064,-18.96,65,0,3.09,US,1674531151
238,nabire,-3.3667,135.4833,30.26,63,96,2.64,ID,1674531152
239,san quintin,30.4833,-115.95,12.7,46,0,2.37,MX,1674531153
240,khatanga,71.9667,102.5,-42.02,97,41,2.81,RU,1674531154
241,moroni,-11.7022,43.2551,25.38,88,100,5.36,KM,1674531155
242,manggar,-2.8833,108.2667,28.27,72,100,3.98,ID,1674531155
243,necochea,-38.5473,-58.7368,16.32,58,0,6.39,AR,1674531156
244,bealanana,-14.55,48.7333,18.2,94,100,1.81,MG,1674531157
245,guerrero negro,27.9769,-114.0611,13.26,42,13,4.13,MX,1674531132
246,pucallpa,-8.3791,-74.5539,25.02,78,0,3.09,PE,1674531158
247,nikolskoye,59.7035,30.7861,-4.06,92,100,4.3,RU,1674531159
248,anderson,34.5334,-82.6499,3.49,76,0,0.0,US,1674530879
249,kidal,18.4411,1.4078,20.88,14,8,3.36,ML,1674531160
250,joshimath,30.5667,79.5667,6.36,83,100,0.61,IN,1674531161
251,samfya,-11.3649,29.5565,17.74,88,100,2.69,ZM,1674531162
252,kaili,-3.4626,120.2147,25.21,74,100,1.21,ID,1674531163
253,provideniya,64.3833,-173.3,-14.94,66,40,7.0,RU,1674531163
254,kavieng,-2.5744,150.7967,29.58,69,87,4.99,PG,1674531164
255,magadi,12.9667,77.2333,19.09,67,49,4.45,IN,1674531165
256,codrington,-38.2667,141.9667,21.88,61,96,5.49,AU,1674531166
257,chernihiv,51.0,32.0,-2.16,75,0,2.88,UA,1674531166
258,penzance,50.1186,-5.5371,-0.62,73,11,3.55,GB,1674531167
259,kenai,60.5544,-151.2583,-2.17,94,100,2.06,US,1674531168
260,lorengau,-2.0226,147.2712,27.17,81,100,2.02,PG,1674531169
261,ampanihy,-24.7,44.75,24.2,75,100,5.74,MG,1674531169
262,hatten,53.0167,8.35,3.23,88,99,1.79,DE,1674531170
263,shimoda,34.6667,138.95,11.2,56,85,13.13,JP,1674531171
264,zhigansk,66.7697,123.3711,-42.71,97,100,3.39,RU,1674531172
265,ambulu,-8.345,113.6058,29.71,67,75,2.23,ID,1674531173
266,la rioja,42.25,-2.5,-1.12,97,100,3.14,ES,1674531034
267,dali,25.7,100.1833,13.29,31,1,1.68,CN,1674531174
268,beringovskiy,63.05,179.3167,-23.59,97,100,6.04,RU,1674531175
269,wagga wagga,-35.1167,147.3667,28.67,40,100,2.68,AU,1674531003
270,general roca,-39.0333,-67.5833,27.01,27,0,8.0,AR,1674531176
271,rudsar,37.1376,50.288,4.99,72,94,1.97,IR,1674531177
272,billings,45.7833,-108.5007,1.87,63,100,6.69,US,1674531177
273,champerico,14.3,-91.9167,25.33,75,3,1.86,GT,1674531178
274,fort nelson,58.8053,-122.7002,-7.23,100,75,0.0,CA,1674531071
275,mabaruma,8.2,-59.7833,21.27,98,27,1.16,GY,1674531179
276,santa maria,-29.6842,-53.8069,20.61,83,0,3.09,BR,1674531122
277,zyryanka,65.75,150.85,-30.78,93,100,0.59,RU,1674531181
278,yerbogachen,61.2767,108.0108,-35.73,94,81,0.84,RU,1674531181
279,padang,-0.9492,100.3543,26.03,88,100,2.44,ID,1674531182
280,moerai,-22.4333,-151.3333,25.87,77,20,8.54,PF,1674531184
281,santa cruz de la palma,28.6835,-17.7642,18.08,59,75,4.12,ES,1674531185
282,pangnirtung,66.1451,-65.7125,-27.2,82,100,1.73,CA,1674531187
283,lavrentiya,65.5833,-171.0,-26.45,95,27,5.52,RU,1674531188
284,tazovskiy,67.4667,78.7,-33.77,99,80,3.23,RU,1674531189
285,san luis,-33.295,-66.3356,24.74,37,45,4.8,AR,1674531002
286,likhoslavl,57.1275,35.464,-8.15,97,92,2.26,RU,1674531191
287,chapais,49.7834,-74.8492,-6.12,93,100,3.87,CA,1674531194
288,waddan,29.1614,16.139,9.88,32,0,2.29,LY,1674531196
289,ancud,-41.8697,-73.8203,11.71,83,63,3.83,CL,1674531197
290,tungor,53.3808,142.9564,-26.97,93,100,8.5,RU,1674531199
291,norman wells,65.282,-126.8329,-30.98,76,20,0.0,CA,1674531201
292,kanashevo,55.2169,62.0634,-6.69,93,20,3.56,RU,1674531203
293,washington,47.5001,-120.5015,0.88,82,56,1.03,US,1674531133
294,boaco,12.4722,-85.6586,19.88,93,4,4.11,NI,1674531206
295,tautira,-17.7333,-149.15,26.15,82,100,4.16,PF,1674531208
296,kysyl-syr,63.8986,122.7617,-37.26,97,99,2.31,RU,1674531211
297,medina,24.4686,39.6142,18.24,45,0,2.57,SA,1674531061
298,lata,40.1629,-8.3327,4.49,72,0,2.18,PT,1674531214
299,kaeo,-35.1,173.7833,24.07,70,100,4.09,NZ,1674531215
300,taltal,-25.4,-70.4833,20.0,84,15,1.14,CL,1674531020
301,abnub,27.2696,31.1511,10.12,78,0,2.89,EG,1674531216
302,saint george,37.1041,-113.5841,3.33,49,0,2.57,US,1674531217
303,traverse city,44.7631,-85.6206,-0.65,92,100,6.69,US,1674531218
304,peace river,56.2501,-117.286,-4.83,86,20,0.0,CA,1674531009
305,hibbing,47.4272,-92.9377,-2.22,86,100,3.09,US,1674531219
306,freeport,40.6576,-73.5832,2.92,71,100,10.29,US,1674531220
307,mehamn,71.0357,27.8492,-0.03,93,94,12.86,NO,1674531221
308,seymchan,62.8833,152.4333,-30.9,92,100,0.53,RU,1674531222
309,ayagoz,47.9714,80.4392,-16.22,90,100,2.41,KZ,1674531223
310,dunedin,-45.8742,170.5036,14.89,59,72,0.89,NZ,1674531127
311,anadyr,64.75,177.4833,-19.72,59,0,2.0,RU,1674531224
312,kirakira,-10.4544,161.9205,25.25,94,100,2.86,SB,1674531142
313,pringsewu,-5.3582,104.9744,28.38,68,100,0.7,ID,1674531226
314,ostrovnoy,68.0531,39.5131,-3.91,91,100,11.46,RU,1674531226
315,qaqortoq,60.7167,-46.0333,-3.57,96,100,3.07,GL,1674531227
316,myanaung,18.2833,95.3167,28.21,23,60,5.65,MM,1674531228
317,saravan,39.7196,45.6483,-8.79,44,0,3.33,AM,1674531229
318,ngunguru,-35.6167,174.5,19.92,81,100,5.59,NZ,1674531229
319,tabou,4.423,-7.3528,25.5,86,55,2.25,CI,1674531097
320,half moon bay,37.4636,-122.4286,13.51,52,0,3.09,US,1674531029
321,betsiamites,48.9413,-68.646,-3.78,94,84,2.69,CA,1674531231
322,balikpapan,-1.2675,116.8289,29.55,74,20,2.57,ID,1674531232
323,anaco,9.4389,-64.4728,22.81,73,77,4.93,VE,1674531233
324,verkhoyansk,67.5447,133.385,-39.32,95,100,0.51,RU,1674531233
325,sur,22.5667,59.5289,19.84,43,96,4.8,OM,1674531091
326,ust-omchug,61.15,149.6333,-34.64,93,58,2.19,RU,1674531235
327,qandala,11.472,49.8728,22.61,71,19,3.23,SO,1674531236
328,xining,36.6167,101.7667,-8.36,16,5,0.87,CN,1674531236
329,monaghan,54.25,-6.9667,6.33,95,100,2.67,IE,1674531237
330,talnakh,69.4865,88.3972,-31.25,94,31,3.62,RU,1674531053
331,ambilobe,-13.2,49.05,23.64,92,100,0.5,MG,1674531238
332,alofi,-19.0595,-169.9187,27.94,83,40,2.57,NU,1674531239
333,aswan,24.0934,32.907,12.61,30,0,3.6,EG,1674531240
334,karratha,-20.7377,116.8463,32.0,51,99,5.96,AU,1674531241
335,boa vista,2.8197,-60.6733,24.99,73,0,2.57,BR,1674531245
336,quatre cocos,-20.2078,57.7625,23.94,80,100,1.75,MU,1674531246
337,port blair,11.6667,92.75,28.02,65,40,5.14,IN,1674531247
338,imeni poliny osipenko,52.4201,136.4853,-28.31,85,100,0.62,RU,1674531248
339,newport,51.5877,-2.9984,0.84,90,12,0.94,GB,1674531249
340,presidencia roque saenz pena,-26.7852,-60.4388,24.86,43,0,2.83,AR,1674531250
341,chiredzi,-21.05,31.6667,21.69,90,91,2.41,ZW,1674531251
342,agadez,19.75,10.25,17.43,16,1,3.08,NE,1674531252
343,torbay,47.6666,-52.7314,0.88,96,100,12.86,CA,1674530901
344,kincardine,56.0667,-3.7167,8.99,93,100,3.13,GB,1674531017
345,wamba,8.9333,8.6,22.64,20,50,2.09,NG,1674531258
346,vega de alatorre,20.0333,-96.6333,19.87,89,44,1.9,MX,1674531260
347,puteyets,65.1716,57.091,-11.26,90,80,4.59,RU,1674531261
348,ullapool,57.8987,-5.1604,7.43,98,100,3.05,GB,1674531262
349,salalah,17.0151,54.0924,22.05,68,20,2.57,OM,1674531263
350,twentynine palms,34.1356,-116.0542,9.08,34,0,5.05,US,1674531266
351,tara,56.8944,74.371,-17.25,98,82,2.46,RU,1674531267
352,makaha,21.4694,-158.2175,26.95,69,100,3.6,US,1674531268
353,onda,39.9667,-0.25,3.42,61,74,2.88,ES,1674531270
354,adrar,20.5022,-10.0711,16.13,17,0,3.99,MR,1674531273
355,makakilo city,21.3469,-158.0858,26.18,63,0,4.63,US,1674531275
356,phonhong,18.5007,102.4166,26.31,43,9,0.14,LA,1674531277
357,paraiso,9.8383,-83.8656,18.48,89,52,1.96,CR,1674531244
358,korla,41.7597,86.1469,-13.05,73,45,2.34,CN,1674531278
359,santiago de chuco,-8.15,-78.1833,11.03,87,94,1.07,PE,1674531279
360,chimichagua,9.2578,-73.8123,25.09,67,39,0.57,CO,1674531279
361,skelleftea,64.7507,20.9528,0.56,100,96,3.6,SE,1674531280
362,maniitsoq,65.4167,-52.9,-4.69,94,100,7.52,GL,1674531281
363,kushima,31.4583,131.2333,5.63,61,40,8.9,JP,1674531282
364,bonavista,48.6499,-53.1147,0.17,98,100,14.65,CA,1674531283
365,faya,18.3851,42.4509,9.06,83,1,0.66,SA,1674531283
366,dogondoutchi,13.6393,4.0287,21.94,16,16,4.08,NE,1674531285
367,husavik,66.0449,-17.3389,-1.71,67,100,4.42,IS,1674531287
368,coihaique,-45.5752,-72.0662,10.34,57,0,1.03,CL,1674531288
369,phangnga,8.4509,98.5298,28.02,53,75,2.92,TH,1674531289
370,aklavik,68.2191,-135.0107,-23.01,98,100,4.42,CA,1674531289
371,asosa,10.0667,34.5333,18.19,36,45,2.42,ET,1674531290
372,watrous,51.6668,-105.4679,-8.12,86,100,4.63,CA,1674531291
373,manger,60.6414,5.0414,6.17,1,100,8.65,NO,1674531292
